站号,日,气温
0,06 17:00:00,0
0,06 18:00:00,0
0,06 19:00:00,0
0,06 20:00:00,0
0,06 21:00:00,0
0,06 22:00:00,0
0,06 23:00:00,0
0,07 00:00:00,0
0,07 01:00:00,0
0,07 02:00:00,0
0,07 03:00:00,0
0,07 04:00:00,0
0,07 05:00:00,0
0,07 06:00:00,0
0,07 07:00:00,0
0,07 08:00:00,0
0,07 09:00:00,0
0,07 10:00:00,0
0,07 11:00:00,0
0,07 12:00:00,0
0,07 13:00:00,0
0,07 14:00:00,0
0,07 15:00:00,0
0,07 16:00:00,0
0,07 17:00:00,0
0,07 18:00:00,0
0,07 19:00:00,0
0,07 20:00:00,0
0,07 21:00:00,0
0,07 22:00:00,0
0,07 23:00:00,0
0,08 00:00:00,0
0,08 01:00:00,0
0,08 02:00:00,0
0,08 03:00:00,0
0,08 04:00:00,0
0,08 05:00:00,0
0,08 06:00:00,0
0,08 07:00:00,0
0,08 08:00:00,0
0,08 09:00:00,0
0,08 10:00:00,0
0,08 11:00:00,0
0,08 12:00:00,0
0,08 13:00:00,0
0,08 14:00:00,0
0,08 15:00:00,0
0,08 16:00:00,0
0,08 17:00:00,0
0,08 18:00:00,0
0,08 19:00:00,0
0,08 20:00:00,0
0,08 21:00:00,0
0,08 22:00:00,0
0,08 23:00:00,0
0,09 00:00:00,0
0,09 01:00:00,0
0,09 02:00:00,0
0,09 03:00:00,0
0,09 04:00:00,0
0,09 05:00:00,0
0,09 06:00:00,0
0,09 07:00:00,0
0,09 08:00:00,0
0,09 09:00:00,0
0,09 10:00:00,0
0,09 11:00:00,0
0,09 12:00:00,0
0,09 13:00:00,0
0,09 14:00:00,0
0,09 15:00:00,0
0,09 16:00:00,0
0,09 17:00:00,0
0,09 18:00:00,0
0,09 19:00:00,0
0,09 20:00:00,0
0,09 21:00:00,0
0,09 22:00:00,0
0,09 23:00:00,0
0,10 00:00:00,0
0,10 01:00:00,0
0,10 02:00:00,0
0,10 03:00:00,0
0,10 04:00:00,0
0,10 05:00:00,0
0,10 06:00:00,0
0,10 07:00:00,0
0,10 08:00:00,0
0,10 09:00:00,0
0,10 10:00:00,0
0,10 11:00:00,0
0,10 12:00:00,0
0,10 13:00:00,0
0,10 14:00:00,0
0,10 15:00:00,0
0,10 16:00:00,0
0,10 17:00:00,0
0,10 18:00:00,0
0,10 19:00:00,0
0,10 20:00:00,0
0,10 21:00:00,0
0,10 22:00:00,0
0,10 23:00:00,0
0,11 00:00:00,0
0,11 01:00:00,0
0,11 02:00:00,0
0,11 03:00:00,0
0,11 04:00:00,0
0,11 05:00:00,0
0,11 06:00:00,0
0,11 07:00:00,0
0,11 08:00:00,0
0,11 09:00:00,0
0,11 10:00:00,0
0,11 11:00:00,0
0,11 12:00:00,0
0,11 13:00:00,0
0,11 14:00:00,0
0,11 15:00:00,0
0,11 16:00:00,0
0,11 17:00:00,0
0,11 18:00:00,0
0,11 19:00:00,0
0,11 20:00:00,0
0,11 21:00:00,0
0,11 22:00:00,0
0,11 23:00:00,0
0,12 00:00:00,0
0,12 01:00:00,0
0,12 02:00:00,0
0,12 03:00:00,0
0,12 04:00:00,0
0,12 05:00:00,0
0,12 06:00:00,0
0,12 07:00:00,0
0,12 08:00:00,0
0,12 09:00:00,0
0,12 10:00:00,0
0,12 11:00:00,0
0,12 12:00:00,0
0,12 13:00:00,0
0,12 14:00:00,0
0,12 15:00:00,0
0,12 16:00:00,0
0,12 17:00:00,0
0,12 18:00:00,0
0,12 19:00:00,0
0,12 20:00:00,0
0,12 21:00:00,0
0,12 22:00:00,0
0,12 23:00:00,0
0,13 00:00:00,0
0,13 01:00:00,0
0,13 02:00:00,0
0,13 03:00:00,0
0,13 04:00:00,0
0,13 05:00:00,0
0,13 06:00:00,0
0,13 07:00:00,0
0,13 08:00:00,0
0,13 09:00:00,0
0,13 10:00:00,0
0,13 11:00:00,0
0,13 12:00:00,0
0,13 13:00:00,0
0,13 14:00:00,0
0,13 15:00:00,0
0,13 16:00:00,0
0,13 17:00:00,0
0,13 18:00:00,0
0,13 19:00:00,0
0,13 20:00:00,0
0,13 21:00:00,0
0,13 22:00:00,0
0,13 23:00:00,0
0,14 00:00:00,0
0,14 01:00:00,0
0,14 02:00:00,0
0,14 03:00:00,0
0,14 04:00:00,0
0,14 05:00:00,0
0,14 06:00:00,0
0,14 07:00:00,0
0,14 08:00:00,0
0,14 09:00:00,0
0,14 10:00:00,0
0,14 11:00:00,0
0,14 12:00:00,0
0,14 13:00:00,0
0,14 14:00:00,0
0,14 15:00:00,0
0,14 16:00:00,0
0,14 17:00:00,0
0,14 18:00:00,0
0,14 19:00:00,0
0,14 20:00:00,0
0,14 21:00:00,0
0,14 22:00:00,0
0,14 23:00:00,0
0,15 00:00:00,0
0,15 01:00:00,0
0,15 02:00:00,0
0,15 03:00:00,0
0,15 04:00:00,0
0,15 05:00:00,0
0,15 06:00:00,0
0,15 07:00:00,0
0,15 08:00:00,0
0,15 09:00:00,0
0,15 10:00:00,0
0,15 11:00:00,0
0,15 12:00:00,0
0,15 13:00:00,0
0,15 14:00:00,0
0,15 15:00:00,0
0,15 16:00:00,0
0,15 17:00:00,0
0,15 18:00:00,0
0,15 19:00:00,0
0,15 20:00:00,0
0,15 21:00:00,0
0,15 22:00:00,0
0,15 23:00:00,0
0,16 00:00:00,0
0,16 01:00:00,0
0,16 02:00:00,0
0,16 03:00:00,0
0,16 04:00:00,0
0,16 05:00:00,0
0,16 06:00:00,0
0,16 07:00:00,0
0,16 08:00:00,0
0,16 09:00:00,0
0,16 10:00:00,0
0,16 11:00:00,0
0,16 12:00:00,0
0,16 13:00:00,0
0,16 14:00:00,0
0,16 15:00:00,0
0,16 16:00:00,0
0,16 17:00:00,0
0,16 18:00:00,0
0,16 19:00:00,0
0,16 20:00:00,0
0,16 21:00:00,0
0,16 22:00:00,0
0,16 23:00:00,0
0,17 00:00:00,0
0,17 01:00:00,0
0,17 02:00:00,0
0,17 03:00:00,0
0,17 04:00:00,0
0,17 05:00:00,0
0,17 06:00:00,0
0,17 07:00:00,0
0,17 08:00:00,0
0,17 09:00:00,0
0,17 10:00:00,0
0,17 11:00:00,0
0,17 12:00:00,0
0,17 13:00:00,0
0,17 14:00:00,0
0,17 15:00:00,0
0,17 16:00:00,0
0,17 17:00:00,0
0,17 18:00:00,0
0,17 19:00:00,0
0,17 20:00:00,0
0,17 21:00:00,0
0,17 22:00:00,0
0,17 23:00:00,0
0,18 00:00:00,0
0,18 01:00:00,0
0,18 02:00:00,0
0,18 03:00:00,0
0,18 04:00:00,0
0,18 05:00:00,0
0,18 06:00:00,0
0,18 07:00:00,0
0,18 08:00:00,0
0,18 09:00:00,0
0,18 10:00:00,0
0,18 11:00:00,0
0,18 12:00:00,0
0,18 13:00:00,0
0,18 14:00:00,0
0,18 15:00:00,0
0,18 16:00:00,0
0,18 17:00:00,0
0,18 18:00:00,0
0,18 19:00:00,0
0,18 20:00:00,0
0,18 21:00:00,0
0,18 22:00:00,0
0,18 23:00:00,0
0,19 00:00:00,0
0,19 01:00:00,0
0,19 02:00:00,0
0,19 03:00:00,0
0,19 04:00:00,0
0,19 05:00:00,0
0,19 06:00:00,0
0,19 07:00:00,0
0,19 08:00:00,0
0,19 09:00:00,0
0,19 10:00:00,0
0,19 11:00:00,0
0,19 12:00:00,0
0,19 13:00:00,0
0,19 14:00:00,0
0,19 15:00:00,0
0,19 16:00:00,0
0,19 17:00:00,0
0,19 18:00:00,0
0,19 19:00:00,0
0,19 20:00:00,0
0,19 21:00:00,0
0,19 22:00:00,0
0,19 23:00:00,0
0,20 00:00:00,0
0,20 01:00:00,0
0,20 02:00:00,0
0,20 03:00:00,0
0,20 04:00:00,0
0,20 05:00:00,0
0,20 06:00:00,0
0,20 07:00:00,0
0,20 08:00:00,0
0,20 09:00:00,0
0,20 10:00:00,0
0,20 11:00:00,0
0,20 12:00:00,0
0,20 13:00:00,0
0,20 14:00:00,0
0,20 15:00:00,0
0,20 16:00:00,0
0,20 17:00:00,0
0,20 18:00:00,0
0,20 19:00:00,0
0,20 20:00:00,0
0,20 21:00:00,0
0,20 22:00:00,0
0,20 23:00:00,0
0,21 00:00:00,0
0,21 01:00:00,0
0,21 02:00:00,0
0,21 03:00:00,0
0,21 04:00:00,0
0,21 05:00:00,0
0,21 06:00:00,0
0,21 07:00:00,0
0,21 08:00:00,0
0,21 09:00:00,0
0,21 10:00:00,0
0,21 11:00:00,0
0,21 12:00:00,0
0,21 13:00:00,0
0,21 14:00:00,0
0,21 15:00:00,0
0,21 16:00:00,0
0,21 17:00:00,0
0,21 18:00:00,0
0,21 19:00:00,0
0,21 20:00:00,0
0,21 21:00:00,0
0,21 22:00:00,0
0,21 23:00:00,0
0,22 00:00:00,0
0,22 01:00:00,0
0,22 02:00:00,0
0,22 03:00:00,0
0,22 04:00:00,0
0,22 05:00:00,0
0,22 06:00:00,0
0,22 07:00:00,0
0,22 08:00:00,0
0,22 09:00:00,0
0,22 10:00:00,0
0,22 11:00:00,0
0,22 12:00:00,0
0,22 13:00:00,0
0,22 14:00:00,0
0,22 15:00:00,0
0,22 16:00:00,0
0,22 17:00:00,0
0,22 18:00:00,0
0,22 19:00:00,0
0,22 20:00:00,0
0,22 21:00:00,0
0,22 22:00:00,0
0,22 23:00:00,0
0,23 00:00:00,0
0,23 01:00:00,0
0,23 02:00:00,0
0,23 03:00:00,0
0,23 04:00:00,0
0,23 05:00:00,0
0,23 06:00:00,0
0,23 07:00:00,0
0,23 08:00:00,0
0,23 09:00:00,0
0,23 10:00:00,0
0,23 11:00:00,0
0,23 12:00:00,0
0,23 13:00:00,0
0,23 14:00:00,0
0,23 15:00:00,0
0,23 16:00:00,0
0,23 17:00:00,0
0,23 18:00:00,0
0,23 19:00:00,0
0,23 20:00:00,0
0,23 21:00:00,0
0,23 22:00:00,0
0,23 23:00:00,0
0,24 00:00:00,0
0,24 01:00:00,0
0,24 02:00:00,0
0,24 03:00:00,0
0,24 04:00:00,0
0,24 05:00:00,0
0,24 06:00:00,0
0,24 07:00:00,0
0,24 08:00:00,0
0,24 09:00:00,0
0,24 10:00:00,0
0,24 11:00:00,0
0,24 12:00:00,0
0,24 13:00:00,0
0,24 14:00:00,0
0,24 15:00:00,0
0,24 16:00:00,0
0,24 17:00:00,0
0,24 18:00:00,0
0,24 19:00:00,0
0,24 20:00:00,0
0,24 21:00:00,0
0,24 22:00:00,0
0,24 23:00:00,0
0,25 00:00:00,0
0,25 01:00:00,0
0,25 02:00:00,0
0,25 03:00:00,0
0,25 04:00:00,0
0,25 05:00:00,0
0,25 06:00:00,0
0,25 07:00:00,0
0,25 08:00:00,0
0,25 09:00:00,0
0,25 10:00:00,0
0,25 11:00:00,0
0,25 12:00:00,0
0,25 13:00:00,0
0,25 14:00:00,0
0,25 15:00:00,0
0,25 16:00:00,0
0,25 17:00:00,0
0,25 18:00:00,0
0,25 19:00:00,0
0,25 20:00:00,0
0,25 21:00:00,0
0,25 22:00:00,0
0,25 23:00:00,0
0,26 00:00:00,0
0,26 01:00:00,0
0,26 02:00:00,0
0,26 03:00:00,0
0,26 04:00:00,0
0,26 05:00:00,0
0,26 06:00:00,0
0,26 07:00:00,0
0,26 08:00:00,0
0,26 09:00:00,0
0,26 10:00:00,0
0,26 11:00:00,0
0,26 12:00:00,0
0,26 13:00:00,0
0,26 14:00:00,0
0,26 15:00:00,0
0,26 16:00:00,0
0,26 17:00:00,0
0,26 18:00:00,0
0,26 19:00:00,0
0,26 20:00:00,0
0,26 21:00:00,0
0,26 22:00:00,0
0,26 23:00:00,0
0,27 00:00:00,0
0,27 01:00:00,0
0,27 02:00:00,0
0,27 03:00:00,0
0,27 04:00:00,0
0,27 05:00:00,0
0,27 06:00:00,0
0,27 07:00:00,0
0,27 08:00:00,0
0,27 09:00:00,0
0,27 10:00:00,0
0,27 11:00:00,0
0,27 12:00:00,0
0,27 13:00:00,0
0,27 14:00:00,0
0,27 15:00:00,0
0,27 16:00:00,0
0,27 17:00:00,0
0,27 18:00:00,0
0,27 19:00:00,0
0,27 20:00:00,0
0,27 21:00:00,0
0,27 22:00:00,0
0,27 23:00:00,0
0,28 00:00:00,0
0,28 01:00:00,0
0,28 02:00:00,0
0,28 03:00:00,0
0,28 04:00:00,0
0,28 05:00:00,0
0,28 06:00:00,0
0,28 07:00:00,0
0,28 08:00:00,0
0,28 09:00:00,0
0,28 10:00:00,0
0,28 11:00:00,0
0,28 12:00:00,0
0,28 13:00:00,0
0,28 14:00:00,0
0,28 15:00:00,0
0,28 16:00:00,0
0,28 17:00:00,0
0,28 18:00:00,0
0,28 19:00:00,0
0,28 20:00:00,0
0,28 21:00:00,0
0,28 22:00:00,0
0,28 23:00:00,0
0,29 00:00:00,0
0,29 01:00:00,0
0,29 02:00:00,0
0,29 03:00:00,0
0,29 04:00:00,0
0,29 05:00:00,0
0,29 06:00:00,0
0,29 07:00:00,0
0,29 08:00:00,0
0,29 09:00:00,0
0,29 10:00:00,0
0,29 11:00:00,0
0,29 12:00:00,0
0,29 13:00:00,0
0,29 14:00:00,0
0,29 15:00:00,0
0,29 16:00:00,0
0,29 17:00:00,0
0,29 18:00:00,0
0,29 19:00:00,0
0,29 20:00:00,0
0,29 21:00:00,0
0,29 22:00:00,0
0,29 23:00:00,0
0,30 00:00:00,0
0,30 01:00:00,0
0,30 02:00:00,0
0,30 03:00:00,0
0,30 04:00:00,0
0,30 05:00:00,0
0,30 06:00:00,0
0,30 07:00:00,0
0,30 08:00:00,0
0,30 09:00:00,0
0,30 10:00:00,0
0,30 11:00:00,0
0,30 12:00:00,0
0,30 13:00:00,0
0,30 14:00:00,0
0,30 15:00:00,0
0,30 16:00:00,0
0,30 17:00:00,0
0,30 18:00:00,0
0,30 19:00:00,0
0,30 20:00:00,0
0,30 21:00:00,0
0,30 22:00:00,0
0,30 23:00:00,0
0,31 00:00:00,0
0,31 01:00:00,0
0,31 02:00:00,0
0,31 03:00:00,0
0,31 04:00:00,0
0,31 05:00:00,0
0,31 06:00:00,0
0,31 07:00:00,0
0,31 08:00:00,0
0,31 09:00:00,0
0,31 10:00:00,0
0,31 11:00:00,0
0,31 12:00:00,0
0,31 13:00:00,0
0,31 14:00:00,0
0,31 15:00:00,0
0,31 16:00:00,0
0,31 17:00:00,0
0,31 18:00:00,0
0,31 19:00:00,0
0,31 20:00:00,0
0,31 21:00:00,0
0,31 22:00:00,0
0,31 23:00:00,0
1,01 00:00:00,0
1,01 01:00:00,0
1,01 02:00:00,0
1,01 03:00:00,0
1,01 04:00:00,0
1,01 05:00:00,0
1,01 06:00:00,0
1,01 07:00:00,0
1,01 08:00:00,0
1,01 09:00:00,0
1,01 10:00:00,0
1,01 11:00:00,0
1,01 12:00:00,0
1,01 13:00:00,0
1,01 14:00:00,0
1,01 15:00:00,0
1,01 16:00:00,0
1,01 17:00:00,0
1,01 18:00:00,0
1,01 19:00:00,0
1,01 20:00:00,0
1,01 21:00:00,0
1,01 22:00:00,0
1,01 23:00:00,0
1,02 00:00:00,0
1,02 01:00:00,0
1,02 02:00:00,0
1,02 03:00:00,0
1,02 04:00:00,0
1,02 05:00:00,0
1,02 06:00:00,0
1,02 07:00:00,0
1,02 08:00:00,0
1,02 09:00:00,0
1,02 10:00:00,0
1,02 11:00:00,0
1,02 12:00:00,0
1,02 13:00:00,0
1,02 14:00:00,0
1,02 15:00:00,0
1,02 16:00:00,0
1,02 17:00:00,0
1,02 18:00:00,0
1,02 19:00:00,0
1,02 20:00:00,0
1,02 21:00:00,0
1,02 22:00:00,0
1,02 23:00:00,0
1,03 00:00:00,0
1,03 01:00:00,0
1,03 02:00:00,0
1,03 03:00:00,0
1,03 04:00:00,0
1,03 05:00:00,0
1,03 06:00:00,0
1,03 07:00:00,0
1,03 08:00:00,0
1,03 09:00:00,0
1,03 10:00:00,0
1,03 11:00:00,0
1,03 12:00:00,0
1,03 13:00:00,0
1,03 14:00:00,0
1,03 15:00:00,0
1,03 16:00:00,0
1,03 17:00:00,0
1,03 18:00:00,0
1,03 19:00:00,0
1,03 20:00:00,0
1,03 21:00:00,0
1,03 22:00:00,0
1,03 23:00:00,0
1,04 00:00:00,0
1,04 01:00:00,0
1,04 02:00:00,0
1,04 03:00:00,0
1,04 04:00:00,0
1,04 05:00:00,0
1,04 06:00:00,0
1,04 07:00:00,0
1,04 08:00:00,0
1,04 09:00:00,0
1,04 10:00:00,0
1,04 11:00:00,0
1,04 12:00:00,0
1,04 13:00:00,0
1,04 14:00:00,0
1,04 15:00:00,0
1,04 16:00:00,0
1,04 17:00:00,0
1,04 18:00:00,0
1,04 19:00:00,0
1,04 20:00:00,0
1,04 21:00:00,0
1,04 22:00:00,0
1,04 23:00:00,0
1,05 00:00:00,0
1,05 01:00:00,0
1,05 02:00:00,0
1,05 03:00:00,0
1,05 04:00:00,0
1,05 05:00:00,0
1,05 06:00:00,0
1,05 07:00:00,0
1,05 08:00:00,0
1,05 09:00:00,0
1,05 10:00:00,0
1,05 11:00:00,0
1,05 12:00:00,0
1,05 13:00:00,0
1,05 14:00:00,0
1,05 15:00:00,0
1,05 16:00:00,0
1,05 17:00:00,0
1,05 18:00:00,0
1,05 19:00:00,0
1,05 20:00:00,0
1,05 21:00:00,0
1,05 22:00:00,0
1,05 23:00:00,0
1,06 00:00:00,0
1,06 01:00:00,0
1,06 02:00:00,0
1,06 03:00:00,0
1,06 04:00:00,0
1,06 05:00:00,0
1,06 06:00:00,0
1,06 07:00:00,0
1,06 08:00:00,0
1,06 09:00:00,0
1,06 10:00:00,0
1,06 11:00:00,0
1,06 12:00:00,0
1,06 13:00:00,0
1,06 14:00:00,0
1,06 15:00:00,0
1,06 16:00:00,0
1,06 17:00:00,0
1,06 18:00:00,0
1,06 19:00:00,0
1,06 20:00:00,0
1,06 21:00:00,0
1,06 22:00:00,0
1,06 23:00:00,0
1,07 00:00:00,0
1,07 01:00:00,0
1,07 02:00:00,0
1,07 03:00:00,0
1,07 04:00:00,0
1,07 05:00:00,0
1,07 06:00:00,0
1,07 07:00:00,0
1,07 08:00:00,0
1,07 09:00:00,0
1,07 10:00:00,0
1,07 11:00:00,0
1,07 12:00:00,0
1,07 13:00:00,0
1,07 14:00:00,0
1,07 15:00:00,0
1,07 16:00:00,0
1,07 17:00:00,0
1,07 18:00:00,0
1,07 19:00:00,0
1,07 20:00:00,0
1,07 21:00:00,0
1,07 22:00:00,0
1,07 23:00:00,0
1,08 00:00:00,0
1,08 01:00:00,0
1,08 02:00:00,0
1,08 03:00:00,0
1,08 04:00:00,0
1,08 05:00:00,0
1,08 06:00:00,0
1,08 07:00:00,0
1,08 08:00:00,0
1,08 09:00:00,0
1,08 10:00:00,0
1,08 11:00:00,0
1,08 12:00:00,0
1,08 13:00:00,0
1,08 14:00:00,0
1,08 15:00:00,0
1,08 16:00:00,0
1,08 17:00:00,0
1,08 18:00:00,0
1,08 19:00:00,0
1,08 20:00:00,0
1,08 21:00:00,0
1,08 22:00:00,0
1,08 23:00:00,0
1,09 00:00:00,0
1,09 01:00:00,0
1,09 02:00:00,0
1,09 03:00:00,0
1,09 04:00:00,0
1,09 05:00:00,0
1,09 06:00:00,0
1,09 07:00:00,0
1,09 08:00:00,0
1,09 09:00:00,0
1,09 10:00:00,0
1,09 11:00:00,0
1,09 12:00:00,0
1,09 13:00:00,0
1,09 14:00:00,0
1,09 15:00:00,0
1,09 16:00:00,0
1,09 17:00:00,0
1,09 18:00:00,0
1,09 19:00:00,0
1,09 20:00:00,0
1,09 21:00:00,0
1,09 22:00:00,0
1,09 23:00:00,0
1,10 00:00:00,0
1,10 01:00:00,0
1,10 02:00:00,0
1,10 03:00:00,0
1,10 04:00:00,0
1,10 05:00:00,0
1,10 06:00:00,0
1,10 07:00:00,0
1,10 08:00:00,0
1,10 09:00:00,0
1,10 10:00:00,0
1,10 11:00:00,0
1,10 12:00:00,0
1,10 13:00:00,0
1,10 14:00:00,0
1,10 15:00:00,0
1,10 16:00:00,0
1,10 17:00:00,0
1,10 18:00:00,0
1,10 19:00:00,0
1,10 20:00:00,0
1,10 21:00:00,0
1,10 22:00:00,0
1,10 23:00:00,0
1,11 00:00:00,0
1,11 01:00:00,0
1,11 02:00:00,0
1,11 03:00:00,0
1,11 04:00:00,0
1,11 05:00:00,0
1,11 06:00:00,0
1,11 07:00:00,0
1,11 08:00:00,0
1,11 09:00:00,0
1,11 10:00:00,0
1,11 11:00:00,0
1,11 12:00:00,0
1,11 13:00:00,0
1,11 14:00:00,0
1,11 15:00:00,0
1,11 16:00:00,0
1,11 17:00:00,0
1,11 18:00:00,0
1,11 19:00:00,0
1,11 20:00:00,0
1,11 21:00:00,0
1,11 22:00:00,0
1,11 23:00:00,0
1,12 00:00:00,0
1,12 01:00:00,0
1,12 02:00:00,0
1,12 03:00:00,0
1,12 04:00:00,0
1,12 05:00:00,0
1,12 06:00:00,0
1,12 07:00:00,0
1,12 08:00:00,0
1,12 09:00:00,0
1,12 10:00:00,0
1,12 11:00:00,0
1,12 12:00:00,0
1,12 13:00:00,0
1,12 14:00:00,0
1,12 15:00:00,0
1,12 16:00:00,0
1,12 17:00:00,0
1,12 18:00:00,0
1,12 19:00:00,0
1,12 20:00:00,0
1,12 21:00:00,0
1,12 22:00:00,0
1,12 23:00:00,0
1,13 00:00:00,0
1,13 01:00:00,0
1,13 02:00:00,0
1,13 03:00:00,0
1,13 04:00:00,0
1,13 05:00:00,0
1,13 06:00:00,0
1,13 07:00:00,0
1,13 08:00:00,0
1,13 09:00:00,0
1,13 10:00:00,0
1,13 11:00:00,0
1,13 12:00:00,0
1,13 13:00:00,0
1,13 14:00:00,0
1,13 15:00:00,0
1,13 16:00:00,0
1,13 17:00:00,0
1,13 18:00:00,0
1,13 19:00:00,0
1,13 20:00:00,0
1,13 21:00:00,0
1,13 22:00:00,0
1,13 23:00:00,0
1,14 00:00:00,0
1,14 01:00:00,0
1,14 02:00:00,0
1,14 03:00:00,0
1,14 04:00:00,0
1,14 05:00:00,0
1,14 06:00:00,0
1,14 07:00:00,0
1,14 08:00:00,0
1,14 09:00:00,0
1,14 10:00:00,0
1,14 11:00:00,0
1,14 12:00:00,0
1,14 13:00:00,0
1,14 14:00:00,0
1,14 15:00:00,0
1,14 16:00:00,0
1,14 17:00:00,0
1,14 18:00:00,0
1,14 19:00:00,0
1,14 20:00:00,0
1,14 21:00:00,0
1,14 22:00:00,0
1,14 23:00:00,0
1,15 00:00:00,0
1,15 01:00:00,0
1,15 02:00:00,0
1,15 03:00:00,0
1,15 04:00:00,0
1,15 05:00:00,0
1,15 06:00:00,0
1,15 07:00:00,0
1,15 08:00:00,0
1,15 09:00:00,0
1,15 10:00:00,0
1,15 11:00:00,0
1,15 12:00:00,0
1,15 13:00:00,0
1,15 14:00:00,0
1,15 15:00:00,0
1,15 16:00:00,0
1,15 17:00:00,0
1,15 18:00:00,0
1,15 19:00:00,0
1,15 20:00:00,0
1,15 21:00:00,0
1,15 22:00:00,0
1,15 23:00:00,0
1,16 00:00:00,0
1,16 01:00:00,0
1,16 02:00:00,0
1,16 03:00:00,0
1,16 04:00:00,0
1,16 05:00:00,0
1,16 06:00:00,0
1,16 07:00:00,0
1,16 08:00:00,0
1,16 09:00:00,0
1,16 10:00:00,0
1,16 11:00:00,0
1,16 12:00:00,0
1,16 13:00:00,0
1,16 14:00:00,0
1,16 15:00:00,0
1,16 16:00:00,0
1,16 17:00:00,0
1,16 18:00:00,0
1,16 19:00:00,0
1,16 20:00:00,0
1,16 21:00:00,0
1,16 22:00:00,0
1,16 23:00:00,0
1,17 00:00:00,0
1,17 01:00:00,0
1,17 02:00:00,0
1,17 03:00:00,0
1,17 04:00:00,0
1,17 05:00:00,0
1,17 06:00:00,0
1,17 07:00:00,0
1,17 08:00:00,0
1,17 09:00:00,0
1,17 10:00:00,0
1,17 11:00:00,0
1,17 12:00:00,0
1,17 13:00:00,0
1,17 14:00:00,0
1,17 15:00:00,0
1,17 16:00:00,0
1,17 17:00:00,0
1,17 18:00:00,0
1,17 19:00:00,0
1,17 20:00:00,0
1,17 21:00:00,0
1,17 22:00:00,0
1,17 23:00:00,0
1,18 00:00:00,0
1,18 01:00:00,0
1,18 02:00:00,0
1,18 03:00:00,0
1,18 04:00:00,0
1,18 05:00:00,0
1,18 06:00:00,0
1,18 07:00:00,0
1,18 08:00:00,0
1,18 09:00:00,0
1,18 10:00:00,0
1,18 11:00:00,0
1,18 12:00:00,0
